userName,at,score,content,polarity_score,sentiment,content_stopwords,tokenized_stemmed,cleaned_tokenized_stemmed
CHARLIE Jr PURBA,6/10/2024 0:03,3,daftar riwayat transaksi masuk kenapa nggak bisa dilihat ya bagaimana caranya pusing menggunakannya,-3,NEGATIVE,daftar riwayat transaksi masuk nggak dilihat bagaimana caranya pusing menggunakannya,"['daftar', 'riwayat', 'transaksi', 'masuk', 'nggak', 'pusing', 'guna']",daftar riwayat transaksi masuk nggak pusing guna
Anas Mudawar,6/7/2024 16:37,3,setelah tukar smartphone data saya tidak bisa login,-12,NEGATIVE,tukar smartphone data tidak login,"['tukar', 'smartphone', 'data', 'login']",tukar smartphone data login
salam pemula,6/7/2024 1:40,1,tambahkan metode daftar rekening baru bisa melalui action mobile atau secara online supaya lebih mudah bagi yang ingin membuka tabungan baru di bank aceh,-10,NEGATIVE,tambahkan metode daftar rekening baru melalui action mobile secara online lebih mudah yang membuka tabungan baru bank aceh,"['tambah', 'metode', 'daftar', 'rekening', 'action', 'mobile', 'online', 'mudah', 'buka', 'tabung', 'bank', 'aceh']",tambah metode daftar rekening action mobile online mudah buka tabung bank aceh
PUBLIK M,6/4/2024 12:50,1,saya kirim uang sudah terkirim dari saya ada label  juga tapi uangnya tidak masuk dan saldo saya ke potong,-16,NEGATIVE,kirim uang terkirim label  tapi uangnya masuk saldo saya ke potong,"['kirim', 'uang', 'kirim', 'label', 'uang', 'masuk', 'saldo', 'potong']",kirim uang kirim label uang masuk saldo potong
Tiara Nabilla,6/3/2024 17:39,4,mohon untuk fitur top up  dana dibuat susah kalau mau top up dana tidak bisa dari bank aceh,10,POSITIVE,mohon fitur top up  dana dibuat susah kalau mau top up dana bisa bank aceh,"['mohon', 'fitur', 'top', 'up', 'dana', 'susah', 'top', 'up', 'dana', 'bank', 'aceh']",mohon fitur top up dana susah top up dana bank aceh
Rya Nadri,6/1/2024 11:36,2,saya tidak bisa melakukan transaksi untuk transfer ke rekening lain padahal saldo saya ada tapi ketika saya melakukan transaksi saldo saya tidak cukup katanya,-19,NEGATIVE,tidak melakukan transaksi transfer rekening padahal saldo ada ketika melakukan transaksi saldo tidak cukup katanya,"['transaksi', 'transfer', 'rekening', 'saldo', 'transaksi', 'saldo']",transaksi transfer rekening saldo transaksi saldo
Sapri,5/28/2024 17:59,5,sangat bagus semoga ditingkatkan lagi to up dana,1,POSITIVE,sangat bagus semoga ditingkatkan to up dana,"['bagus', 'moga', 'tingkat', 'to', 'up', 'dana']",bagus moga tingkat to up dana
Heri Nurwandi,5/20/2024 11:38,4,kalau bisa bisa ditambah fitur untuk lihat poin seulanga jangan lihat poin seulanga harus ke bank terimakasih semoga semakin baik,9,POSITIVE,kalau bisa ditambah fitur lihat poin seulanga jangan lihat poin seulanga ke bank terimakasih semoga semakin baik,"['tambah', 'fitur', 'lihat', 'poin', 'seulanga', 'lihat', 'poin', 'seulanga', 'bank', 'terimakasih', 'moga']",tambah fitur lihat poin seulanga lihat poin seulanga bank terimakasih moga
kamal satria,5/17/2024 19:26,1,pin saya sudah benar tapi mengapa salah di aplikasi  sampai akhir  kena blokiran,-14,NEGATIVE,pin sudah benar mengapa salah aplikasi  akhir  kena blokiran,"['pin', 'salah', 'aplikasi', 'kena', 'blokir']",pin salah aplikasi kena blokir
Tari,5/14/2024 23:34,3,aplikasi  jelek banget kadang aplikasi  susah dibuka dan lama loading masa harus pakai wifi baru bisa padahal saat buka aplikasi mobile mobile banking lain aman saja jaringannya,-23,NEGATIVE,aplikasi  jelek banget kadang aplikasi  susah dibuka lama loading masa pakai wifi baru padahal buka aplikasi mobile mobile banking aman jaringannya,"['aplikasi', 'jelek', 'banget', 'kadang', 'aplikasi', 'susah', 'buka', 'loading', 'pakai', 'wifi', 'buka', 'aplikasi', 'mobile', 'mobile', 'banking', 'aman', 'jaring']",aplikasi jelek banget kadang aplikasi susah buka loading pakai wifi buka aplikasi mobile mobile banking aman jaring
Khairullah Arul,5/14/2024 21:12,5,selama ada action mobile saya sangat senang dan bisa saya cek langsung terbaik mantap,3,POSITIVE,selama action mobile sangat senang bisa cek langsung terbaik mantap,"['action', 'mobile', 'senang', 'cek', 'langsung', 'baik', 'mantap']",action mobile senang cek langsung baik mantap
Li Na,5/14/2024 11:49,5,bank aceh semakin berkembang,2,POSITIVE,bank aceh semakin berkembang,"['bank', 'aceh', 'kembang']",bank aceh kembang
aDiets,5/14/2024 9:31,1,telepon saya atur ulang install lagi tidak bisa harus ke bank saat ke bank diminta buku rekening antrinya lama lagi padahal bank lain tidak harus ke bank buat mobile bankingnya bank yang sulit dari zaman ke zaman dan pegawainya banyak angkuh pelayanan tidak ramah,-44,NEGATIVE,telepon atur ulang install bank bank diminta buku rekening antrinya lama padahal bank tidak harus ke bank buat mobile bankingnya bank sulit zaman ke zaman pegawainya banyak angkuh pelayanan tidak ramah,"['telepon', 'atur', 'ulang', 'install', 'bank', 'bank', 'buku', 'rekening', 'antri', 'bank', 'bank', 'mobile', 'bankingnya', 'bank', 'sulit', 'zaman', 'zaman', 'pegawai', 'angkuh', 'layan', 'ramah']",telepon atur ulang install bank bank buku rekening antri bank bank mobile bankingnya bank sulit zaman zaman pegawai angkuh layan ramah
sumiati,5/7/2024 12:00,5,saya gagal unduh resi katanya aktifkan perizinan sedangkan untuk action perizinan sudah saya aktifkan semua tapi tetap gagal unduh resi mohon solusinya,-11,NEGATIVE,gagal unduh resi katanya aktifkan perizinan untuk action perizinan saya aktifkan semua tetap gagal unduh resi mohon solusinya,"['gagal', 'unduh', 'resi', 'aktif', 'izin', 'action', 'izin', 'aktif', 'gagal', 'unduh', 'resi', 'mohon', 'solusi']",gagal unduh resi aktif izin action izin aktif gagal unduh resi mohon solusi
Culun Mamank,5/2/2024 14:47,2,kenapa ya saya unduh habis itu saat masuk layarnya berhenti warna abu abu terus,-4,NEGATIVE,ya unduh habis saat masuk layarnya berhenti warna abu abu terus,"['ya', 'unduh', 'habis', 'masuk', 'layar', 'henti', 'warna', 'abu', 'abu']",ya unduh habis masuk layar henti warna abu abu
Ananda Yudi Rizki,5/1/2024 23:49,1,masa kita sudah daftar tapi nggak bisa masuk lagi di perangkat lain,-13,NEGATIVE,masa sudah daftar nggak masuk di perangkat,"['daftar', 'nggak', 'masuk', 'perangkat']",daftar nggak masuk perangkat
maimun mun,5/1/2024 0:41,5,sangat bermanfaat dan bagus,5,POSITIVE,sangat bermanfaat bagus,"['manfaat', 'bagus']",manfaat bagus
halimatus,4/29/2024 9:02,5,bank aceh semakin berkembang,2,POSITIVE,bank aceh semakin berkembang,"['bank', 'aceh', 'kembang']",bank aceh kembang
Makanan Jalanan,4/26/2024 15:30,1,sulit banget ini aplikasi mau masuk ke smartphone lain saja harus lapor dulu terus kalau smartphone hilang bagaimana coba bodoh  sulit banget ini aplikasi,-8,NEGATIVE,sulit banget aplikasi mau masuk smartphone saja lapor dulu terus kalau smartphone hilang bagaimana coba bodoh  sulit banget aplikasi,"['sulit', 'banget', 'aplikasi', 'masuk', 'smartphone', 'lapor', 'smartphone', 'hilang', 'coba', 'bodoh', 'sulit', 'banget', 'aplikasi']",sulit banget aplikasi masuk smartphone lapor smartphone hilang coba bodoh sulit banget aplikasi
Wahyudi Adami,4/22/2024 23:43,5,tambakan opsi top up dana,9,POSITIVE,tambakan opsi top up dana,"['tambakan', 'opsi', 'top', 'up', 'dana']",tambakan opsi top up dana
edi awan,4/15/2024 16:42,4,tolong di tingkatkan agar bisa top up dana,7,POSITIVE,di tingkatkan bisa top up dana,"['tingkat', 'top', 'up', 'dana']",tingkat top up dana
Samsul bahri Samsul,4/15/2024 5:08,3,kenapa atm saya tidak bisa di daftar,-10,NEGATIVE,atm tidak di daftar,"['atm', 'daftar']",atm daftar
Lampung 12,4/9/2024 6:51,1,padahal saya sudah mendaftar ke bank aceh untuk pembuatan mobile banking karna ganti smartphone tidak lagi bisa masuk alasan pihak bank begini begitu lah,-16,NEGATIVE,padahal sudah mendaftar bank aceh pembuatan mobile banking karna ganti smartphone lagi masuk alasan pihak bank begini lah,"['daftar', 'bank', 'aceh', 'buat', 'mobile', 'banking', 'karna', 'ganti', 'smartphone', 'masuk', 'alas', 'bank']",daftar bank aceh buat mobile banking karna ganti smartphone masuk alas bank
M. IKHSAN HARASYI,4/9/2024 1:07,4,kecewa banget temen mengirim uang thr melalui line bank tapi saldonya tidak masuk sampai sekarang dan daftar riwayat transaksi  juga tidak ada pada tgl   april  ini kecewa sih dengan pengalaman  soalnya lagi butuh uang juga malah eror begini slip bukti transfer  juga masih ada apakah ada solusinya dari pihak bank aceh,-32,NEGATIVE,kecewa banget temen mengirim uang thr melalui line bank saldonya masuk sekarang daftar riwayat transaksi  tidak pada tgl   april  kecewa sih pengalaman  soalnya butuh uang malah eror begini slip bukti transfer  masih apakah solusinya pihak bank aceh,"['kecewa', 'banget', 'temen', 'kirim', 'uang', 'thr', 'line', 'bank', 'saldo', 'masuk', 'daftar', 'riwayat', 'transaksi', 'tgl', 'april', 'kecewa', 'sih', 'alam', 'butuh', 'uang', 'eror', 'slip', 'bukti', 'transfer', 'solusi', 'bank', 'aceh']",kecewa banget temen kirim uang thr line bank saldo masuk daftar riwayat transaksi tgl april kecewa sih alam butuh uang eror slip bukti transfer solusi bank aceh
muhammad redha,4/7/2024 4:54,5,lama menanti terus semangat jaya bank aceh,3,POSITIVE,lama menanti terus semangat jaya bank aceh,"['semangat', 'jaya', 'bank', 'aceh']",semangat jaya bank aceh
Ellie Minami,4/5/2024 20:45,5,untuk pembayaran sudah bagus mohon untuk tambahan fitur uang yang masuk ke rekening karena sulit untuk melihat riwayat yang masuk terimakasih,-2,NEGATIVE,pembayaran bagus mohon tambahan fitur uang masuk rekening sulit melihat riwayat masuk terimakasih,"['bayar', 'bagus', 'mohon', 'tambah', 'fitur', 'uang', 'masuk', 'rekening', 'sulit', 'riwayat', 'masuk', 'terimakasih']",bayar bagus mohon tambah fitur uang masuk rekening sulit riwayat masuk terimakasih
Muksal Arkandy,4/5/2024 15:35,4,mau unduh resi malah keluar,1,POSITIVE,mau unduh resi malah keluar,"['unduh', 'resi']",unduh resi
Rivi Ayudha,4/4/2024 10:26,4,maaf mau tanya kalau mau daftar mobile banking tapi nomor yang lama terblokir bagaimana tolong informasi  ya,-1,NEGATIVE,maaf mau tanya kalau mau daftar mobile banking nomor lama terblokir bagaimana informasi ,"['maaf', 'daftar', 'mobile', 'banking', 'nomor', 'blokir', 'informasi']",maaf daftar mobile banking nomor blokir informasi
ikhsan atjeh15,4/4/2024 9:01,4,mau tanya kakak apakah action saat ini tidak bisa untuk simpan bukti pada smartphone itel s,-9,NEGATIVE,mau tanya kakak action ini bisa simpan bukti smartphone itel s,"['kakak', 'action', 'simpan', 'bukti', 'smartphone', 'itel', 's']",kakak action simpan bukti smartphone itel s
Doelhr Harun,4/4/2024 7:29,4,kenapa di bank aceh syariah tidak ada top up ke akun dana tolong di tingkatkan terimakasih,10,POSITIVE,di bank aceh syariah ada top up akun dana di tingkatkan terimakasih,"['bank', 'aceh', 'syariah', 'top', 'up', 'akun', 'dana', 'tingkat', 'terimakasih']",bank aceh syariah top up akun dana tingkat terimakasih
marsha 666,4/4/2024 2:26,1,pulsa saya sudah sehari semalem dua kali nggak masuk masuk saldo saya di potong,-18,NEGATIVE,pulsa sudah sehari semalem kali masuk masuk saldo di potong,"['pulsa', 'hari', 'semalem', 'kali', 'masuk', 'masuk', 'saldo', 'potong']",pulsa hari semalem kali masuk masuk saldo potong
Juni Basrijal,4/3/2024 20:37,4,belum lengkap kalau belum bisa top up dana di aplikasi action mobile ini mohon sediakan juga top up dana terimakasih,19,POSITIVE,lengkap kalau bisa top up dana aplikasi action mobile mohon sediakan top up dana terimakasih,"['lengkap', 'top', 'up', 'dana', 'aplikasi', 'action', 'mobile', 'mohon', 'sedia', 'top', 'up', 'dana', 'terimakasih']",lengkap top up dana aplikasi action mobile mohon sedia top up dana terimakasih
Hasanul Gusni Gunawan,4/3/2024 19:05,3,untuk penggantian perangkat harus datang ke kantor cabang sedangkan di pangkalan kerinci tidak ada bank aceh mohon pengembangan seperti mobile banking lainnya yang bisa ganti perangkat tanpa harus ke kantor cabang soalnya selain jarak waktu pun tidak ada kecuali hari libur,-26,NEGATIVE,penggantian perangkat datang kantor cabang di pangkalan kerinci bank aceh mohon pengembangan mobile banking lainnya bisa ganti perangkat harus kantor cabang soalnya jarak waktu tidak ada kecuali hari libur,"['ganti', 'perangkat', 'kantor', 'cabang', 'pangkal', 'kerinci', 'bank', 'aceh', 'mohon', 'kembang', 'mobile', 'banking', 'ganti', 'perangkat', 'kantor', 'cabang', 'jarak', 'kecuali', 'libur']",ganti perangkat kantor cabang pangkal kerinci bank aceh mohon kembang mobile banking ganti perangkat kantor cabang jarak kecuali libur
Imam Aulia Putra,3/30/2024 14:45,4,daftarnya apa harus ke bank dulu,-8,NEGATIVE,daftarnya apa ke bank dulu,"['daftar', 'bank']",daftar bank
M. Andika Andreansyah,3/22/2024 13:32,1,sulit aplikasi  saat habis atur ulang smartphone untuk daftar ulang akunnya harus ke bank aceh,-7,NEGATIVE,sulit aplikasi  habis atur ulang smartphone daftar ulang akunnya ke bank aceh,"['sulit', 'aplikasi', 'habis', 'atur', 'ulang', 'smartphone', 'daftar', 'ulang', 'akun', 'bank', 'aceh']",sulit aplikasi habis atur ulang smartphone daftar ulang akun bank aceh
Lamteh Ajalah,3/21/2024 23:55,5,bintang sebagai bentuk dukungan dari saya,-1,NEGATIVE,bintang bentuk dukungan saya,"['bintang', 'bentuk', 'dukung']",bintang bentuk dukung
K.Z Projeck,3/21/2024 17:27,5,resi gagal di unduh sudah beberapa kali di coba dengan berbagai smartphone tetap saja tidak bisa di unduh,-3,NEGATIVE,resi gagal unduh beberapa kali coba berbagai smartphone tetap tidak di unduh,"['resi', 'gagal', 'unduh', 'kali', 'coba', 'smartphone', 'unduh']",resi gagal unduh kali coba smartphone unduh
Munir Khanz02,3/13/2024 5:50,5,mantap pakai action mobile,5,POSITIVE,mantap pakai action mobile,"['mantap', 'pakai', 'action', 'mobile']",mantap pakai action mobile
Tgk ismuha idris,3/11/2024 10:21,5,kalau kata sandi di blokir bagaimana cara bukanya,-5,NEGATIVE,kalau kata sandi blokir bagaimana cara bukanya,"['sandi', 'blokir', 'buka']",sandi blokir buka
Dasi Gantung,3/9/2024 22:52,1,banyak cacat transaksi gagal sering bug,-2,NEGATIVE,banyak cacat transaksi gagal sering bug,"['cacat', 'transaksi', 'gagal', 'bug']",cacat transaksi gagal bug
Nora Aini,3/9/2024 10:52,1,ada apa dengan mobile banking bank aceh ya berkali kali nggak bisa padahal lagi urusan penting tolong segera perbaiki dong,-3,NEGATIVE,apa mobile banking bank aceh berkali kali bisa padahal urusan penting segera perbaiki dong,"['mobile', 'banking', 'bank', 'aceh', 'kali', 'kali', 'urus', 'baik']",mobile banking bank aceh kali kali urus baik
topan aja,3/1/2024 10:41,4,apakah masuk action harus tabungan yang punya kartu atm,-10,NEGATIVE,masuk action tabungan punya kartu atm,"['masuk', 'action', 'tabung', 'kartu', 'atm']",masuk action tabung kartu atm
SAFRIZAL,2/26/2024 11:28,5,sangat mendukung dan membantu pokoknya keren banget,-4,NEGATIVE,sangat mendukung membantu pokoknya keren banget,"['dukung', 'bantu', 'pokok', 'keren', 'banget']",dukung bantu pokok keren banget
CUT NURUL FATHIA,2/21/2024 14:31,1,sangat kecewa dengan pelayanan bank besar seperti bank aceh ini sudah seminggu dan sudah  tempat saya pergi untuk urus atm yang sudah kadaluarsa dan semua beralasan stok atm habis masa sekelas bank aceh bisa  kehabisan stok atm dan jika pun habis mengapa seperti tidak ada usaha untuk mengadakan kembali stok atm yang sudah habis kacau,-39,NEGATIVE,sangat kecewa pelayanan bank besar bank aceh sudah seminggu sudah  tempat pergi urus atm sudah kadaluarsa semua beralasan stok atm habis masa sekelas bank aceh  kehabisan stok atm jika habis seperti ada usaha mengadakan stok atm sudah habis kacau,"['kecewa', 'layan', 'bank', 'bank', 'aceh', 'minggu', 'pergi', 'urus', 'atm', 'kadaluarsa', 'alas', 'stok', 'atm', 'habis', 'kelas', 'bank', 'aceh', 'habis', 'stok', 'atm', 'habis', 'usaha', 'ada', 'stok', 'atm', 'habis', 'kacau']",kecewa layan bank bank aceh minggu pergi urus atm kadaluarsa alas stok atm habis kelas bank aceh habis stok atm habis usaha ada stok atm habis kacau
Nasa Nst,2/20/2024 8:25,3,tolong sering diupgrade dong terutama tambah top up aplikasi dana,19,POSITIVE,sering diupgrade dong terutama tambah top up aplikasi dana,"['diupgrade', 'top', 'up', 'aplikasi', 'dana']",diupgrade top up aplikasi dana
Marlina Mahmud,2/19/2024 14:16,2,jarang sekali perbaharui takut akan keamanannya,-4,NEGATIVE,jarang sekali perbaharui takut keamanannya,"['jarang', 'baharu', 'takut', 'aman']",jarang baharu takut aman
Saiful Hadi,2/14/2024 20:25,4,assalamualaikum kenapa aplikasinya tidak bisa dibuka ya layarnya terlihat hitam,-2,NEGATIVE,assalamualaikum aplikasinya bisa dibuka layarnya terlihat hitam,"['assalamualaikum', 'aplikasi', 'buka', 'layar', 'hitam']",assalamualaikum aplikasi buka layar hitam
yanti jamil,2/13/2024 17:19,3,sejak masuk tahun  action mobile punya saya nggak bisa transfer ke bank lain padahal di tahun sebelumnya tidak ada kendala apa mohon pencerahannya,-16,NEGATIVE,sejak masuk tahun  action mobile punya nggak transfer bank padahal tahun sebelumnya ada kendala apa mohon pencerahannya,"['masuk', 'action', 'mobile', 'nggak', 'transfer', 'bank', 'kendala', 'mohon', 'cerah']",masuk action mobile nggak transfer bank kendala mohon cerah
Aroell Aroell,2/13/2024 12:30,3,kenapa kalau saya unduh resi pengiriman selalu gagal apa action mobile sedang gangguan,-16,NEGATIVE,kalau unduh resi pengiriman selalu gagal apa action mobile sedang gangguan,"['unduh', 'resi', 'kirim', 'gagal', 'action', 'mobile', 'ganggu']",unduh resi kirim gagal action mobile ganggu
Go Iqbal,2/9/2024 13:03,4,kok fitur top up dana masih belum ada nggak mau berkembang ya,16,POSITIVE,kok fitur top up dana belum nggak mau berkembang,"['fitur', 'top', 'up', 'dana', 'nggak', 'kembang']",fitur top up dana nggak kembang
Azhar Azhar,2/6/2024 22:48,1,assalamualaikum izin tanya sebenarnya saya sudah lama pakai action mobile bank aceh tapi kenapa saya lihat dalam beberapa minggu ini susah banget untuk akses masuk aplikasinya jangan kan untuk tranfer atau cek saldo buka aplikasi action saja tidak bisa mohon bantuan dan informasinya terimakasih,-11,NEGATIVE,assalamualaikum izin tanya sebenarnya sudah lama pakai action mobile bank aceh kenapa lihat beberapa minggu susah banget akses masuk aplikasinya jangan kan tranfer cek saldo buka aplikasi action tidak mohon bantuan informasinya terimakasih,"['assalamualaikum', 'izin', 'pakai', 'action', 'mobile', 'bank', 'aceh', 'lihat', 'minggu', 'susah', 'banget', 'akses', 'masuk', 'aplikasi', 'tranfer', 'cek', 'saldo', 'buka', 'aplikasi', 'action', 'mohon', 'bantu', 'informasi', 'terimakasih']",assalamualaikum izin pakai action mobile bank aceh lihat minggu susah banget akses masuk aplikasi tranfer cek saldo buka aplikasi action mohon bantu informasi terimakasih
Abdur Rahman,2/6/2024 10:03,2,mohon di perbaharui agar bisa tranfer ke aplikasi dana seperti banking lain,-5,NEGATIVE,mohon perbaharui bisa tranfer aplikasi dana banking,"['mohon', 'baharu', 'tranfer', 'aplikasi', 'dana', 'banking']",mohon baharu tranfer aplikasi dana banking
roster mania,2/5/2024 23:32,2,sulit waktu ganti perangkat harus ke bank lagi zaman sudah online nih,-7,NEGATIVE,sulit waktu ganti perangkat ke bank zaman online nih,"['sulit', 'ganti', 'perangkat', 'bank', 'zaman', 'online', 'nih']",sulit ganti perangkat bank zaman online nih
"sartika, SP",2/5/2024 16:05,1,sering nggak loading lambat,2,POSITIVE,sering loading lambat,"['loading', 'lambat']",loading lambat
Cut Novita Sari,2/2/2024 17:55,1,daftar status kartu harus aktif,-8,NEGATIVE,daftar status kartu aktif,"['daftar', 'status', 'kartu', 'aktif']",daftar status kartu aktif
